Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
01/01/2024 00:00:00,2711845,EQ-126,PR10076,3185,63,9,1,PC,N144/83,0.556
02/01/2024 00:00:00,2784337,EQ-126,PR10000,749,45,16,1,PC,MASSA C403/32,1.256
04/01/2024 00:00:00,2762628,EQ-126,PR10015,1220,59,37,1,PC,MASSA C315/1,0.936
06/01/2024 00:00:00,2797342,EQ-126,PR10018,1284,14,17,20,PC,EP 4053/1,0.523
07/01/2024 00:00:00,2720444,EQ-126,PR10075,213,26,18,1,PC,C424/64,1.646
09/01/2024 00:00:00,2752219,EQ-126,PR10004,4373,57,21,1,PC,FP75614/49,2.416
11/01/2024 00:00:00,2777481,EQ-126,PR10054,4899,23,14,1,PC,MASSA C403/32,1.707
12/01/2024 00:00:00,2701691,EQ-126,PR10061,2583,34,18,1,PC,C424/40 ESCURO,1.001
14/01/2024 00:00:00,2716271,EQ-126,PR10004,3252,22,24,1,PC,MASSA C420/95,1.831
16/01/2024 00:00:00,2773154,EQ-126,PR10006,220,7,36,1,PC,N148/18,0.512
17/01/2024 00:00:00,2787657,EQ-126,PR10077,2397,15,17,1,PC,N-184/2,1.526
19/01/2024 00:00:00,2767857,EQ-126,PR10032,2467,69,11,1,PC,MASSA C316/2,1.269
21/01/2024 00:00:00,2789488,EQ-126,PR10005,3524,60,31,20,PC,N-142/44,1.015
22/01/2024 00:00:00,2736169,EQ-126,PR10005,902,57,25,1,PC,FP75614/49,1.896
24/01/2024 00:00:00,2795460,EQ-126,PR10050,509,28,25,1,PC,N144/83,0.455
26/01/2024 00:00:00,2774392,EQ-126,PR10011,4865,62,27,1,PC,MASSA C316/2,1.416
27/01/2024 00:00:00,2747459,EQ-126,PR10074,1843,25,24,1,PC,N-142/67,2.162
29/01/2024 00:00:00,2734286,EQ-126,PR10003,1866,8,29,20,PC,N148/18,0.648
31/01/2024 00:00:00,2763791,EQ-126,PR10076,4692,18,37,1,PC,MASSA C315/1,0.794
02/02/2024 00:00:00,2702225,EQ-126,PR10000,3928,70,13,1,PC,MASSA C420/191,1.713
03/02/2024 00:00:00,2748146,EQ-126,PR10051,1009,24,0,20,PC,N148/18,1.972
05/02/2024 00:00:00,2783913,EQ-126,PR10052,1307,23,32,1,PC,N144/83,0.837
07/02/2024 00:00:00,2762794,EQ-126,PR10013,4262,38,10,1,PC,C424/50,1.015
08/02/2024 00:00:00,2782180,EQ-126,PR10020,2901,46,34,1,PC,N-184/2,1.897
10/02/2024 00:00:00,2717669,EQ-126,PR10030,1505,60,20,1,PC,EP 4053/1,0.842
12/02/2024 00:00:00,2798690,EQ-126,PR10040,3425,28,21,20,PC,P248/40,1.726
13/02/2024 00:00:00,2790412,EQ-126,PR10056,702,19,4,1,PC,P250/14,0.548
15/02/2024 00:00:00,2766789,EQ-126,PR10006,4033,4,39,1,PC,MASSA C420/96,1.134
17/02/2024 00:00:00,2759978,EQ-126,PR10060,1300,35,17,1,PC,MASSA C420/134,1.778
18/02/2024 00:00:00,2738588,EQ-126,PR10014,4297,61,36,1,PC,N148/18,1.247
20/02/2024 00:00:00,2731082,EQ-126,PR10008,1444,49,28,20,PC,MASSA C315/1,0.225
22/02/2024 00:00:00,2784713,EQ-126,PR10059,848,19,17,1,PC,MASSA C420/95,1.123
23/02/2024 00:00:00,2722703,EQ-126,PR10055,3572,10,11,20,PC,MASSA C420/191,0.849
25/02/2024 00:00:00,2741367,EQ-126,PR10014,1344,19,20,1,PC,N-142/44,0.415
27/02/2024 00:00:00,2792719,EQ-126,PR10006,4691,5,39,20,PC,C424/40 ESCURO,0.201
29/02/2024 00:00:00,2765945,EQ-126,PR10023,1117,44,29,1,PC,FP75614/49,0.286
01/03/2024 00:00:00,2767287,EQ-126,PR10056,1602,25,14,1,PC,C424/64,2.382
03/03/2024 00:00:00,2723271,EQ-126,PR10063,4655,22,34,1,PC,MASSA C420/95,1.92
05/03/2024 00:00:00,2757392,EQ-126,PR10024,523,4,27,20,PC,EP 4053/1,2.36
06/03/2024 00:00:00,2759337,EQ-126,PR10071,210,24,3,20,PC,P248/40,0.446
08/03/2024 00:00:00,2748737,EQ-126,PR10033,4845,3,27,1,PC,FP75614/49,1.504
10/03/2024 00:00:00,2769404,EQ-126,PR10053,2658,9,29,1,PC,MASSA C316/2,0.373
11/03/2024 00:00:00,2700281,EQ-126,PR10033,1730,33,26,20,PC,N-184/2,0.242
13/03/2024 00:00:00,2744498,EQ-126,PR10027,1562,57,15,1,PC,MASSA C420/96,1.262
15/03/2024 00:00:00,2741428,EQ-126,PR10000,3130,7,31,1,PC,C424/40 ESCURO,1.68
16/03/2024 00:00:00,2734002,EQ-126,PR10036,4200,51,11,1,PC,N-142/44,0.327
18/03/2024 00:00:00,2756446,EQ-126,PR10029,2323,27,35,20,PC,MASSA C315/1,1.027
20/03/2024 00:00:00,2778845,EQ-126,PR10024,705,8,14,1,PC,EP 4053/1,0.389
21/03/2024 00:00:00,2704391,EQ-126,PR10059,328,33,18,1,PC,MASSA C403/32,1.02
23/03/2024 00:00:00,2739525,EQ-126,PR10001,2323,58,17,1,PC,C424/40 ESCURO,1.275
25/03/2024 00:00:00,2795250,EQ-126,PR10027,4884,16,25,1,PC,N-142/44,0.963
27/03/2024 00:00:00,2729325,EQ-126,PR10047,461,32,10,1,PC,N144/83,1.517
28/03/2024 00:00:00,2732034,EQ-126,PR10027,4526,55,29,1,PC,MASSA C403/32,1.536
30/03/2024 00:00:00,2784817,EQ-126,PR10023,2820,60,27,1,PC,MASSA C315/1,0.952
01/04/2024 00:00:00,2769467,EQ-126,PR10071,4891,36,22,20,PC,P250/14,1.084
02/04/2024 00:00:00,2729842,EQ-126,PR10017,1068,12,14,20,PC,C424/64,1.203
04/04/2024 00:00:00,2770744,EQ-126,PR10019,3508,28,10,1,PC,MASSA C315/1,1.052
06/04/2024 00:00:00,2741199,EQ-126,PR10067,789,39,20,1,PC,N146/9,1.945
07/04/2024 00:00:00,2742864,EQ-126,PR10007,3023,54,38,1,PC,N-142/67,0.505
09/04/2024 00:00:00,2760246,EQ-126,PR10055,4693,13,30,1,PC,N-142/44,2.168
11/04/2024 00:00:00,2797713,EQ-126,PR10060,4839,7,14,20,PC,FP75614/49,0.949
12/04/2024 00:00:00,2742732,EQ-126,PR10038,2628,31,16,20,PC,C424/40 ESCURO,1.86
14/04/2024 00:00:00,2743659,EQ-126,PR10017,3130,10,24,20,PC,N148/18,2.23
16/04/2024 00:00:00,2774847,EQ-126,PR10058,1840,68,23,1,PC,C424/50,2.239
17/04/2024 00:00:00,2735826,EQ-126,PR10017,1788,49,35,20,PC,EP 4053/1,1.229
19/04/2024 00:00:00,2724757,EQ-126,PR10041,3624,36,32,1,PC,C424/40 ESCURO,0.775
21/04/2024 00:00:00,2772417,EQ-126,PR10052,799,44,3,20,PC,N148/18,1.585
23/04/2024 00:00:00,2712480,EQ-126,PR10032,257,68,0,20,PC,MASSA C420/96,0.607
24/04/2024 00:00:00,2719593,EQ-126,PR10020,2037,65,37,1,PC,N148/18,2.014
26/04/2024 00:00:00,2789882,EQ-126,PR10070,1614,25,10,20,PC,N146/9,1.83
28/04/2024 00:00:00,2758955,EQ-126,PR10059,1796,29,20,1,PC,MASSA C420/95,2.026
29/04/2024 00:00:00,2716876,EQ-126,PR10013,1823,76,24,20,PC,N148/18,1.185
01/05/2024 00:00:00,2711107,EQ-126,PR10032,3602,37,27,1,PC,C424/40 ESCURO,1.473
03/05/2024 00:00:00,2777044,EQ-126,PR10003,347,26,5,1,PC,MASSA C316/2,0.418
04/05/2024 00:00:00,2735680,EQ-126,PR10042,3566,50,5,20,PC,C424/50,1.775
06/05/2024 00:00:00,2716195,EQ-126,PR10001,3135,14,21,20,PC,P250/14,1.309
08/05/2024 00:00:00,2748532,EQ-126,PR10039,2370,61,14,1,PC,MASSA C420/95,1.361
09/05/2024 00:00:00,2796625,EQ-126,PR10049,3857,29,32,1,PC,P250/14,2.145
11/05/2024 00:00:00,2706800,EQ-126,PR10062,3482,31,16,1,PC,N-184/2,1.972
13/05/2024 00:00:00,2748033,EQ-126,PR10048,1769,49,11,20,PC,C424/40 ESCURO,1.422
14/05/2024 00:00:00,2782765,EQ-126,PR10063,1182,6,30,1,PC,MASSA C420/134,1.004
16/05/2024 00:00:00,2744553,EQ-126,PR10049,101,38,34,20,PC,P248/40,1.216
18/05/2024 00:00:00,2700120,EQ-126,PR10009,1060,60,33,20,PC,C424/64,0.994
20/05/2024 00:00:00,2777759,EQ-126,PR10022,1463,15,31,20,PC,MASSA C316/2,0.532
21/05/2024 00:00:00,2764738,EQ-126,PR10036,591,74,22,20,PC,C424/40 ESCURO,1.678
23/05/2024 00:00:00,2763438,EQ-126,PR10071,3047,36,37,1,PC,MASSA C420/134,1.784
25/05/2024 00:00:00,2720390,EQ-126,PR10009,606,52,4,1,PC,MASSA C403/32,2.433
26/05/2024 00:00:00,2734621,EQ-126,PR10024,4982,77,39,20,PC,MASSA C403/32,1.237
28/05/2024 00:00:00,2753326,EQ-126,PR10032,1047,22,1,20,PC,MASSA C403/32,2.494
30/05/2024 00:00:00,2756665,EQ-126,PR10016,2561,58,30,20,PC,FP75614/49,0.614
